Country,GDP (USD)
Africa Eastern and Southern,1191638638185.25
Africa Western and Central,893639944629.861
Arab World,3738584480489.16
Caribbean small states,78054577760.2976
Central Europe and the Baltics,1956274288914.43
Early-demographic dividend,14274765147164.7
East Asia & Pacific,31135994741903.4
East Asia & Pacific (excluding high income),21563623056097.7
East Asia & Pacific (IDA & IBRD countries),21536968352300
Euro area,14452407617089.9
Europe & Central Asia,25700849227224.2
Europe & Central Asia (excluding high income),1817993344339.27
Europe & Central Asia (IDA & IBRD countries),5263275218883.39
European Union,16996087955139.8
Fragile and conflict affected situations,1976548078585.54
Heavily indebted poor countries (HIPC),993480176910.217
High income,65248657227968.5
IBRD only,38173342857338.4
IDA & IBRD total,41067771533155.6
IDA blend,1279359771603.06
IDA only,1615949723957.34
IDA total,2895309495560.39
Late-demographic dividend,28540512833862.8
Latin America & Caribbean,6345587523480.55
Latin America & Caribbean (excluding high income),5325687016147.01
Latin America & the Caribbean (IDA & IBRD countries),6048473378741.76
Least developed countries: UN classification,1445223560465.28
Low & middle income,36712853300728.6
Low income,427939606203.123
Lower middle income,7377558874199.93
"Middle East, North Africa, Afghanistan & Pakistan",4994047685350.32
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2132297995335.66
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2113132495335.66
Middle income,36282529025324.2
North America,28205178461134.3
Not classified,
OECD members,60744315658542.2
Other small states,181571679219.508
Pacific island small states,10328388317.1998
Post-demographic dividend,57128680173110.1
Pre-demographic dividend,1658497791360.45
Small states,269954645297.005
South Asia,3930640282535.14
South Asia (IDA & IBRD),3930640282535.14
Sub-Saharan Africa,2085278582815.11
Sub-Saharan Africa (excluding high income),1956487528375.04
Sub-Saharan Africa (IDA & IBRD countries),2085278582815.11
Upper middle income,28905818138526.2
World,102434886179161
Afghanistan,14497243872.1337
Albania,19017244116.7203
Algeria,225638456572.143
American Samoa,871000000
Andorra,3380612573.32922
Angola,104399746853.401
Antigua and Barbuda,1866566666.66667
Argentina,632790070063.124
Armenia,19513506553.1251
Aruba,3279343543.60416
Australia,1690858246994.43
Austria,471773629830.381
Azerbaijan,78807470588.2353
"Bahamas, The",13896800000
Bahrain,46458191489.3617
Bangladesh,460131689083.083
Barbados,6257303500
Belarus,73775179924.603
Belgium,593614574325.878
Belize,2846700000
Benin,17425405083.8797
Bermuda,7874381000
Bhutan,2898227743.75576
Bolivia,44008282879.8842
Bosnia and Herzegovina,24534663636.1778
Botswana,20321150598.0672
Brazil,1951923942083.32
British Virgin Islands,
Brunei Darussalam,16681536442.5498
Bulgaria,90509236929.2237
Burkina Faso,18820218690.5948
Burundi,3338722827.65691
Cabo Verde,2247003344.34242
Cambodia,39994532959.6074
Cameroon,44347206072.5513
Canada,2190411080134.32
Cayman Islands,6600843963.37585
Central African Republic,2382618615.01694
Chad,17828508289.6049
Channel Islands,11308300382.1028
Chile,301226575540.242
China,18316765021690.2
Colombia,345632492851.448
Comoros,1279542248.45017
"Congo, Dem. Rep.",65801547755.6552
"Congo, Rep.",15817030156.9459
Costa Rica,69243626028.6698
Cote d'Ivoire,70922824824.0069
Croatia,71198635101.9514
Cuba,
Curacao,3075180834.72417
Cyprus,30935566076.6788
Czechia,301831228325.556
Denmark,401945576107.963
Djibouti,3562814908.76149
Dominica,623062962.962963
Dominican Republic,113478087134.8
Ecuador,116133121000
"Egypt, Arab Rep.",476747720364.742
El Salvador,31870120000
Equatorial Guinea,13687643435.6249
Eritrea,
Estonia,38376046174.971
Eswatini,4741163884.9523
Ethiopia,126772707851.339
Faroe Islands,3566698397.6602
Fiji,4969503549.32096
Finland,280253099309.34
France,2796302210398.84
French Polynesia,5814661208.90544
Gabon,20440655695.229
"Gambia, The",2204734527.12734
Georgia,24984568959.605
Germany,4163596357879.39
Ghana,73919003209.9866
Gibraltar,
Greece,218880566444.349
Greenland,3152334771.77992
Grenada,1231732103.7037
Guam,6910000000
Guatemala,95641441234.943
Guinea,19910452541.9219
Guinea-Bissau,1839048747.87671
Guyana,14718388489.2086
Haiti,20253551920.5516
Honduras,31426041806.7985
"Hong Kong SAR, China",358679533984.718
Hungary,177536698164.902
Iceland,28696453180.1657
India,3346107287730.93
Indonesia,1319101183380.15
"Iran, Islamic Rep.",394362621793.035
Iraq,287372232137.931
Ireland,548570250341.987
Isle of Man,7431257410.92713
Israel,525181008025.57
Italy,2104067630319.46
Jamaica,17097760686.7775
Japan,4262463317796.53
Jordan,48764963380.2817
Kazakhstan,225496328925.494
Kenya,114448978152.637
Kiribati,270040456.961045
"Korea, Dem. People's Rep.",
"Korea, Rep.",1673916511799.71
Kosovo,9354903061.8898
Kuwait,183502046669.15
Kyrgyz Republic,12134931017.9465
Lao PDR,15468785203.7532
Latvia,38014713595.7686
Lebanon,20992421948.8081
Lesotho,2354980884.15271
Liberia,4001047000
Libya,43246297921.8499
Liechtenstein,7378156576.2354
Lithuania,71033884499.7824
Luxembourg,80801680397.0139
"Macao SAR, China",24999113475.8368
Madagascar,15325603272.6073
Malawi,12429060150.742
Malaysia,407605841348.235
Maldives,6177118113.94637
Mali,22374051349.9445
Malta,19239187083.5194
Marshall Islands,253400000
Mauritania,9557966698.25369
Mauritius,12907767789.5967
Mexico,1466464899303.68
"Micronesia, Fed. Sts.",415956896.458884
Moldova,14525337523.7271
Monaco,8800430486.17137
Mongolia,17146471713.748
Montenegro,6229801580.79157
Morocco,130951926351.241
Mozambique,18883528581.3734
Myanmar,62253049891.6449
Namibia,12569449123.3661
Nauru,152190818.868952
Nepal,41182939600.6209
Netherlands,1046540797548.64
New Caledonia,9623318718.31459
New Zealand,249509991440.438
Nicaragua,15634572502.2294
Niger,15433852714.4935
Nigeria,477403400101.174
North Macedonia,13932436550.0883
Northern Mariana Islands,1096000000
Norway,596297651035.798
Oman,109852795838.752
