zeta,s,loss
1.2,0.0,0.1591035847462855
1.2,0.1,0.1790977687283951
1.2,0.2,0.20581644787683795
1.2,0.3,0.24383529502157741
1.2,0.4,0.3039855012697861
1.2,0.5,0.42527847463040547
2.0,0.0,0.1591035847462855
2.0,0.1,0.1707133727155301
2.0,0.2,0.18509785062743422
2.0,0.3,0.20354611814107337
2.0,0.4,0.2283774518844226
2.0,0.5,0.26433968426576326
3.0,0.0,0.1591035847462855
3.0,0.1,0.16672074569262396
3.0,0.2,0.17582894728764398
3.0,0.3,0.1870018419396734
3.0,0.4,0.20118208554561412
3.0,0.5,0.22005852754342992
